question_id,question,category,method,answer,source_titles,source_urls,posted_at,latency_ms,refusal,refusal_reason,generation_model,temperature,top_k
q001,수시 1차 원서접수 기간은 언제야?,admissions_schedule,text_only,"- 수시 1차 면접 예약 기간은 2025-10-02(목)부터 2025-10-03(금)까지입니다.

수시 1차 지원 및 합격 여부와 관계없이 수시 2차 지원이 가능합니다.

- 수시 합격자 등록 기간은 2025-12-15(월)부터 2025-12-17(수)까지입니다.

- 수시 1차 서류제출 마감은 2025-10-10(금) 16:00 도착분까지입니다.

- 수시 1차 지원 및 합격 여부와 관계없이 수시 2차 지원 가능","[""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 전형 및 모집단위 핵심 정리""]",[],[],4.552,False,,demo-extractive,0.1,5
q002,신입생이 받을 수 있는 장학금은 뭐가 있어?,scholarship,text_only,"- 챗봇은 학과의 성격, 교육목표, 진로, 학과사무실 문의처를 설명할 때 이 문서를 우선 참고할 수 있음

- 장학금 지원금액과 대상은 변동될 수 있어 홈페이지 공지를 확인해야 합니다.

- 장학금 지원금액과 대상은 변동될 수 있어 홈페이지 공지를 확인해야 함

- 다양한 분야의 지식과 기술을 융합해 변화에 능동적으로 대응할 수 있는 사회복지·상담전문가를 양성한다.

- 우리나라 교육정책, 학교현장, 지역사회환경을 파악하고, 다양한 문제와 욕구를 가진 대상 학생들을 이해하며, 학교사회복지의 전문적 가치와 이론, 모델, 실천기술들을 습득하여 학생의 인권을 보호하고 복지를 향상시킬 수 있는 학교사회복지사로서의 전문적 능력을","[""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 신입생 지원 혜택 정리""]",[],[],4.434,False,,demo-extractive,0.1,5
q003,자율전공학과는 몇 년제야?,department,text_only,"- 안산대 자율전공학과는 학생 개인의 성향과 특성을 고려한 1대1 상담을 통해 전공 및 진로 설계를 지원하며

- 자율전공학과: 2년제, 입학정원 25

- 아래 내용은 학과 공식 페이지와 입학안내 학과 링크를 바탕으로 정리한 보강 문서임

법을 찾아 낼 수 있도록 학습한다.

- 공식 학과 페이지: https://dental.ansan.ac.kr/dental","[""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 전형 및 모집단위 핵심 정리""]",[],[],4.323,False,,demo-extractive,0.1,5
q004,면접 준비물은 뭐가 필요해?,interview,text_only,"- 입학홈페이지 면접 예약 시스템에서 출력한 면접 예약표가 필요합니다.

- 면접 미응시 시 0점 처리됩니다.

- 평가항목: 면접 태도, 지원 동기, 학업의지, 인성 등

- 수시 1차 면접 예약 기간은 2025-10-02(목)부터 2025-10-03(금)까지입니다.

- 면접 실시 학과는 45,000원입니다.","[""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 면접, 전형료, 지원 유의사항 정리""]",[],[],3.7,False,,demo-extractive,0.1,5
q005,이미지 공지에 나온 입학식 일정이 있으면 알려줘,ocr_notice,text_only,제공된 공지에서 확인되지 않습니다.,"[""안산대학교 공식 학교 개요 보강"", ""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 입학 FAQ 질문형 정리""]",[],[],3.69,True,LOW_TOKEN_OVERLAP,demo-extractive,0.1,5
q001,수시 1차 원서접수 기간은 언제야?,admissions_schedule,ocr_plain,"- 수시 1차 면접 예약 기간은 2025-10-02(목)부터 2025-10-03(금)까지입니다.

수시 1차 지원 및 합격 여부와 관계없이 수시 2차 지원이 가능합니다.

- 수시 합격자 등록 기간은 2025-12-15(월)부터 2025-12-17(수)까지입니다.

- 수시 1차 서류제출 마감은 2025-10-10(금) 16:00 도착분까지입니다.

- 수시 1차 지원 및 합격 여부와 관계없이 수시 2차 지원 가능","[""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 전형 및 모집단위 핵심 정리""]",[],[],3.942,False,,demo-extractive,0.1,5
q002,신입생이 받을 수 있는 장학금은 뭐가 있어?,scholarship,ocr_plain,"- 챗봇은 학과의 성격, 교육목표, 진로, 학과사무실 문의처를 설명할 때 이 문서를 우선 참고할 수 있음

- 장학금 지원금액과 대상은 변동될 수 있어 홈페이지 공지를 확인해야 합니다.

- 장학금 지원금액과 대상은 변동될 수 있어 홈페이지 공지를 확인해야 함

- 다양한 분야의 지식과 기술을 융합해 변화에 능동적으로 대응할 수 있는 사회복지·상담전문가를 양성한다.

- 우리나라 교육정책, 학교현장, 지역사회환경을 파악하고, 다양한 문제와 욕구를 가진 대상 학생들을 이해하며, 학교사회복지의 전문적 가치와 이론, 모델, 실천기술들을 습득하여 학생의 인권을 보호하고 복지를 향상시킬 수 있는 학교사회복지사로서의 전문적 능력을","[""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 신입생 지원 혜택 정리""]",[],[],5.043,False,,demo-extractive,0.1,5
q003,자율전공학과는 몇 년제야?,department,ocr_plain,"- 안산대 자율전공학과는 학생 개인의 성향과 특성을 고려한 1대1 상담을 통해 전공 및 진로 설계를 지원하며

- 자율전공학과: 2년제, 입학정원 25

- 아래 내용은 학과 공식 페이지와 입학안내 학과 링크를 바탕으로 정리한 보강 문서임

법을 찾아 낼 수 있도록 학습한다.

- 공식 학과 페이지: https://dental.ansan.ac.kr/dental","[""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 전형 및 모집단위 핵심 정리""]",[],[],4.267,False,,demo-extractive,0.1,5
q004,면접 준비물은 뭐가 필요해?,interview,ocr_plain,"- 입학홈페이지 면접 예약 시스템에서 출력한 면접 예약표가 필요합니다.

- 면접 미응시 시 0점 처리됩니다.

- 평가항목: 면접 태도, 지원 동기, 학업의지, 인성 등

- 수시 1차 면접 예약 기간은 2025-10-02(목)부터 2025-10-03(금)까지입니다.

- 면접 실시 학과는 45,000원입니다.","[""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 면접, 전형료, 지원 유의사항 정리""]",[],[],4.648,False,,demo-extractive,0.1,5
q005,이미지 공지에 나온 입학식 일정이 있으면 알려줘,ocr_notice,ocr_plain,제공된 공지에서 확인되지 않습니다.,"[""안산대학교 공식 학교 개요 보강"", ""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 입학 FAQ 질문형 정리""]",[],[],3.677,True,LOW_TOKEN_OVERLAP,demo-extractive,0.1,5
q001,수시 1차 원서접수 기간은 언제야?,admissions_schedule,ocr_layout,"- 수시 1차 면접 예약 기간은 2025-10-02(목)부터 2025-10-03(금)까지입니다.

수시 1차 지원 및 합격 여부와 관계없이 수시 2차 지원이 가능합니다.

- 수시 합격자 등록 기간은 2025-12-15(월)부터 2025-12-17(수)까지입니다.

- 수시 1차 서류제출 마감은 2025-10-10(금) 16:00 도착분까지입니다.

- 수시 1차 지원 및 합격 여부와 관계없이 수시 2차 지원 가능","[""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 전형 및 모집단위 핵심 정리""]",[],[],6.125,False,,demo-extractive,0.1,5
q002,신입생이 받을 수 있는 장학금은 뭐가 있어?,scholarship,ocr_layout,"- 챗봇은 학과의 성격, 교육목표, 진로, 학과사무실 문의처를 설명할 때 이 문서를 우선 참고할 수 있음

- 장학금 지원금액과 대상은 변동될 수 있어 홈페이지 공지를 확인해야 합니다.

- 장학금 지원금액과 대상은 변동될 수 있어 홈페이지 공지를 확인해야 함

- 다양한 분야의 지식과 기술을 융합해 변화에 능동적으로 대응할 수 있는 사회복지·상담전문가를 양성한다.

- 우리나라 교육정책, 학교현장, 지역사회환경을 파악하고, 다양한 문제와 욕구를 가진 대상 학생들을 이해하며, 학교사회복지의 전문적 가치와 이론, 모델, 실천기술들을 습득하여 학생의 인권을 보호하고 복지를 향상시킬 수 있는 학교사회복지사로서의 전문적 능력을","[""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 신입생 지원 혜택 정리""]",[],[],6.17,False,,demo-extractive,0.1,5
q003,자율전공학과는 몇 년제야?,department,ocr_layout,"- 안산대 자율전공학과는 학생 개인의 성향과 특성을 고려한 1대1 상담을 통해 전공 및 진로 설계를 지원하며

- 자율전공학과: 2년제, 입학정원 25

- 아래 내용은 학과 공식 페이지와 입학안내 학과 링크를 바탕으로 정리한 보강 문서임

법을 찾아 낼 수 있도록 학습한다.

- 공식 학과 페이지: https://dental.ansan.ac.kr/dental","[""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 전형 및 모집단위 핵심 정리""]",[],[],6.979,False,,demo-extractive,0.1,5
q004,면접 준비물은 뭐가 필요해?,interview,ocr_layout,"- 입학홈페이지 면접 예약 시스템에서 출력한 면접 예약표가 필요합니다.

- 면접 미응시 시 0점 처리됩니다.

- 평가항목: 면접 태도, 지원 동기, 학업의지, 인성 등

- 수시 1차 면접 예약 기간은 2025-10-02(목)부터 2025-10-03(금)까지입니다.

- 면접 실시 학과는 45,000원입니다.","[""안산대학교 2026학년도 입학 FAQ 질문형 정리"", ""안산대학교 2026학년도 면접, 전형료, 지원 유의사항 정리""]",[],[],10.389,False,,demo-extractive,0.1,5
q005,이미지 공지에 나온 입학식 일정이 있으면 알려줘,ocr_notice,ocr_layout,제공된 공지에서 확인되지 않습니다.,"[""안산대학교 공식 학교 개요 보강"", ""안산대학교 학과 및 전공 소개 보강"", ""안산대학교 2026학년도 입학 FAQ 질문형 정리""]",[],[],5.187,True,LOW_TOKEN_OVERLAP,demo-extractive,0.1,5
